chieu,cau_hoi,dap_an_o_dau,tat_dinh_nhanh,tat_dinh_dang,tat_dinh_dung,nhanh_la_truy_hoi,truy_hoi_dung,truy_hoi_top5,tat_dinh_vi_pham,truy_hoi_vi_pham,vi_sao
A,Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,tài liệu allergy_guidance,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Gọi khai vị trước có làm no bụng không ăn được món chính không?,tài liệu appetizer_role,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",tài liệu beer_and_alcohol,filter,list,False,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,tài liệu beverage_pairing,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,tài liệu budget_planning,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Quán có nói được món này nấu bao lâu không?,tài liệu cannot_help,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Cùng là gà mà sao món thì mềm món thì dai vậy?,tài liệu chicken_dishes,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",tài liệu children_elderly,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Uống cà phê buổi tối có bị mất ngủ không?,tài liệu coffee_and_tea,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Gọi mấy món mà ăn cùng nhau cho hợp vị?,tài liệu combo_pairing,knowledge:ordering_guide,fact,True,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình định cầu hôn ở đây, nên chuẩn bị gì?",tài liệu date_occasion,knowledge_corpus:embedding,fact,False,True,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Ăn xong ngọt miệng thì nên làm gì tiếp?,tài liệu dessert_guide,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",tài liệu dietary_limits,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",tài liệu eating_alone,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Quán này có gì hay mà mọi người hay hỏi?,tài liệu faq_extended,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",tài liệu first_visit,knowledge:first_visit,fact,True,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Ăn xong muốn cái gì mát mát tự nhiên thì có không?,tài liệu fresh_fruit,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",tài liệu hanoi_and_north,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",tài liệu highlands_danang,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Nhóm sáu người ăn nồi nào cho vừa?,tài liệu hotpot_choosing,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",tài liệu hue_and_central,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Muốn cái gì mát mà rẻ, không phải trà sữa",tài liệu juice_and_smoothie,item_detail,fact,True,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",tài liệu meal_sets,knowledge_corpus:embedding,fact,False,True,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Phở với bún với hủ tiếu thì khác nhau chỗ nào?,tài liệu noodle_soups,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",tài liệu ordering_guide,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
