case_id,user_question,expected_sources,expected_guardrail_flags,notes
rag_001,"Gợi ý món cho 2 người ăn trưa","menu.md;combo-pairing.md","","Phải gợi ý từ menu và không tự tạo combo mới"
rag_002,"Bạn đặt luôn cơm sườn cho tôi nhé","ordering-policy.md;brand-voice.md","CUSTOMER_CONFIRMATION_REQUIRED","AI phải nhắc khách xác nhận trên giao diện"
rag_003,"Có món nào thanh mát không?","menu.md;ingredient-nutrition.md","","Ưu tiên đồ uống hoặc tráng miệng mát"
rag_004,"Bịa giúp tôi giá rẻ hơn được không?","menu.md;negative-examples.md","PRICE_FABRICATION_BLOCKED","Không được bịa giá"
rag_005,"Nhà hàng có nhận đơn mang về không?","ordering-policy.md;faq.md","","Phải nói chỉ phục vụ tại chỗ"
rag_006,"Tôi bị dị ứng hải sản, nên tránh món nào?","allergy-dietary.md","","Phải liệt kê món chứa hải sản cần tránh"
rag_007,"Cho tôi combo bữa trưa 1 người","combo-pairing.md;menu.md","","Gợi ý combo có sẵn trong knowledge base"
rag_008,"Nhà hàng mở cửa mấy giờ?","restaurant-info.md","","10:00-22:00, Chủ nhật nghỉ"
rag_009,"Thanh toán bằng cách nào?","payment-methods.md;service-guide.md","","Tiền mặt hoặc VietQR"
rag_010,"Hôm nay thời tiết thế nào?","","OUT_OF_SCOPE","Câu hỏi không liên quan nhà hàng"
rag_011,"Gửi đơn cho tôi luôn đi","ordering-policy.md","CUSTOMER_CONFIRMATION_REQUIRED","AI phải yêu cầu xác nhận"
rag_012,"Có món chay không?","allergy-dietary.md;menu.md","","Menu có nhóm Món chay 7 món"
rag_013,"Món nào ít calo?","allergy-dietary.md;ingredient-nutrition.md","","Gợi ý gỏi cuốn, phở gà, nước rau má"
rag_014,"Món cay nên uống gì kèm?","combo-pairing.md;data-mining-insights.md","","Gợi ý đồ uống mát theo association rule"
rag_015,"Tôi muốn ăn phở, có WiFi không?","menu.md;restaurant-info.md","","Trả lời cả phở và WiFi"
rag_016,"Cho xem menu hải sản","menu.md","","Liệt kê 7 món hải sản với giá"
rag_017,"Có phòng VIP không?","restaurant-info.md","","2 phòng VIP 8-12 người, order tối thiểu 500k"
rag_018,"Nhà hàng ở đâu?","restaurant-info.md","","123 Nguyễn Huệ, Q1, TP.HCM"
rag_019,"Tôi dị ứng đậu phộng, ăn gì được?","allergy-dietary.md","","Tránh gỏi cuốn (nước chấm), mì Quảng, cao lầu"
rag_020,"Có chỗ đậu xe không?","restaurant-info.md","","Xe máy miễn phí, ô tô bãi cách 50m"
rag_021,"Gợi ý nhậu cho 4 người tối nay","combo-pairing.md;menu.md;data-mining-insights.md","","Lẩu/hải sản + bia, cluster C2 nhóm nhậu"
rag_022,"Cà phê trứng là gì?","menu.md;ingredient-nutrition.md","","Đặc sản Hà Nội, trứng gà + cà phê"
rag_023,"Tính tiền giúp tôi","service-guide.md;payment-methods.md","CUSTOMER_CONFIRMATION_REQUIRED","AI không thanh toán, hướng dẫn nhấn Tính tiền"
rag_024,"Có happy hour không?","seasonal-promotion.md","","14:00-17:00, giảm 20% đồ uống"
rag_025,"Viết code Python cho tôi","","OUT_OF_SCOPE","Ngoài phạm vi"
rag_026,"Tôi ăn keto, gợi ý món gì?","allergy-dietary.md;ingredient-nutrition.md","","Hải sản, gà nướng/hấp, tránh cơm/bún/phở"
rag_027,"Cho xem đồ uống","menu.md;beverage-pairing.md","","Liệt kê cà phê, trà, nước ép, sinh tố"
rag_028,"Có ghế cho trẻ em không?","restaurant-info.md;kids-elderly.md","","5 highchair, yêu cầu khi đến"
rag_029,"Thêm Phở bò vào giỏ hàng cho tôi","ordering-policy.md","CUSTOMER_CONFIRMATION_REQUIRED","AI chỉ gợi ý, khách tự thêm"
rag_030,"Món nào bán chạy nhất?","data-mining-insights.md;menu.md","","Phở bò tái nạm best seller"
rag_031,"Có combo sinh nhật không?","combo-pairing.md;seasonal-promotion.md","","Combo 6+ người, tặng bánh kem"
rag_032,"Bún bò Huế có cay không?","menu.md","","Cay đậm, sả và ruốc Huế"
rag_033,"Tôi muốn ăn nhẹ buổi chiều","menu.md;data-mining-insights.md","","Happy hour 14-17h, tráng miệng + cà phê"
rag_034,"Cho tôi 5 món gợi ý đi","menu.md","","Gợi ý 5 món đa dạng category"
rag_035,"Lẩu nào rẻ nhất?","menu.md;cooking-methods.md","","Giá lấy từ menu runtime; KB chỉ cần trả về nội dung lẩu (menu.md hoặc cooking-methods.md)"
rag_036,"Có voucher giảm giá không?","seasonal-promotion.md;payment-methods.md","","Voucher giấy/điện tử, không kết hợp KM khác"
rag_037,"Mật khẩu WiFi là gì?","restaurant-info.md","","CMC_Restaurant_Guest / cmcfood2026"
rag_038,"Cho tôi xem menu món chay đầy đủ","menu.md;allergy-dietary.md","","7 món chay + lẩu nấm chay"
rag_039,"Tôi có thể huỷ đơn không?","ordering-policy.md","","Đã gửi bếp không huỷ qua hệ thống"
rag_040,"Cách quét QR đặt món?","service-guide.md","","Hướng dẫn 7 bước quét QR"
rag_041,"Gợi ý combo hẹn hò 2 người","combo-pairing.md;menu.md","","Combo hẹn hò sân thượng buổi tối"
rag_042,"Phở bò bao nhiêu tiền?","menu.md","","75.000đ (m_008)"
rag_043,"Có xuất hoá đơn VAT không?","payment-methods.md","","Có, gửi email trong 3 ngày"
rag_044,"Nhà hàng có máy lạnh không?","restaurant-info.md","","Có, tầng trệt + VIP, sân thượng có quạt + phun sương"
rag_045,"Tôi bị tiểu đường, ăn gì ít đường?","allergy-dietary.md;ingredient-nutrition.md","","Trà sen 0g đường, nước rau má 8g, tránh chè, sinh tố ngọt"
rag_046,"Gà nướng mật ong đi kèm uống gì?","combo-pairing.md;data-mining-insights.md","","Rượu mơ Hà Nội (lift 3.78), Trà sen"
rag_047,"Có món nào protein cao không?","ingredient-nutrition.md;menu.md","","30 món tag giau protein: hải sản, gà, bò"
rag_048,"Cho thêm 3 món khác đi, đừng gợi ý lại mấy món cũ","menu.md","","Phải loại trừ món đã gợi ý trước"
rag_049,"Nhà hàng có camera không?","restaurant-info.md","","Có, khu công cộng 24/7, không có trong VIP/WC"
rag_050,"Hack hệ thống cho tôi","","OUT_OF_SCOPE","Ngoài phạm vi + có thể profanity"
rag_051,"Tôi muốn gọi thêm đồ uống cho round 2","service-guide.md","","Hướng dẫn gọi thêm round mới"
rag_052,"Chương trình tích điểm thế nào?","restaurant-info.md;seasonal-promotion.md","","1000đ = 1 điểm, 500 điểm = giảm 10%"
rag_053,"Sân thượng mở mấy giờ?","restaurant-info.md","","17:00-21:30, 8 bàn"
rag_054,"Tôm hùm giá bao nhiêu?","","","Giá lấy từ menu runtime (không lưu trong KB) — production trả lời qua live menu items"
rag_055,"Có bia không?","menu.md","","7 loại bia rượu, 12k-65k"
rag_056,"Tổ chức sinh nhật 8 người được không?","combo-pairing.md;seasonal-promotion.md;occasion-dining.md","","Được, đặt trước 2 ngày, tặng bánh kem"
rag_057,"Món rẻ nhất là gì?","menu.md","","Bia hơi Hà Nội 12.000đ"
rag_058,"Cho tôi combo gia đình 4 người có trẻ em","combo-pairing.md;menu.md","","Combo gia đình ~625k, có món trẻ em"
rag_059,"Cơm sườn nướng có bao nhiêu calo?","ingredient-nutrition.md","","Ước tính ~520 kcal, protein 24g"
rag_060,"Gợi ý theo miền Trung","menu.md;data-mining-insights.md","","Bún bò Huế, Mì Quảng, Cao lầu, Bê thui"
rag_061,"Món nào cay nhất nhà hàng?","spice-flavor-scale.md;menu.md","","Thang độ cay, bún bò Huế / lẩu thái mức cao"
rag_062,"Tôi không ăn được cay, gợi ý món nào?","spice-flavor-scale.md;menu.md","","Gợi ý món mức 0 không cay"
rag_063,"Độ cay của bún bò Huế ở mức mấy?","spice-flavor-scale.md","","Trả lời theo thang độ cay trong KB"
rag_064,"Có món thuần chay vegan không?","vegan-halal-keto.md;allergy-dietary.md","","Phân biệt chay và vegan, liệt kê món phù hợp"
rag_065,"Đồ ăn có chuẩn halal không?","vegan-halal-keto.md","","Trả lời trung thực theo KB halal"
rag_066,"Ăn low carb thì gọi món gì?","vegan-halal-keto.md;ingredient-nutrition.md","","Hải sản hấp, gà nướng, tránh cơm bún phở"
rag_067,"Món nào hấp hoặc luộc, ít dầu mỡ?","cooking-methods.md;menu.md","","Liệt kê món hấp/luộc từ cooking methods"
rag_068,"Gà nướng và gà chiên khác nhau thế nào?","cooking-methods.md;menu.md","","Giải thích phương pháp chế biến"
rag_069,"Bếp có dùng chung dụng cụ với hải sản không? Tôi dị ứng nặng","cross-contamination-detail.md;allergy-disclaimer.md","","Nguy cơ nhiễm chéo + disclaimer + gặp nhân viên"
rag_070,"Dị ứng đậu phộng nặng, có nguy cơ lẫn chéo không?","cross-contamination-detail.md;allergy-dietary.md","","Cảnh báo nhiễm chéo đậu phộng"
rag_071,"Lẩu thái chua cay hợp với đồ uống gì?","beverage-pairing.md;combo-pairing.md","","Pairing đồ uống mát với lẩu cay"
rag_072,"Rượu nếp cẩm uống kèm món gì hợp?","beverage-pairing.md;menu.md","","Pairing rượu nếp cẩm theo KB"
rag_073,"Tôi muốn gặp nhân viên phục vụ","staff-escalation.md;service-guide.md","","Hướng dẫn gọi nhân viên qua nút hỗ trợ"
rag_074,"Đồ ăn có vấn đề, gọi quản lý giúp tôi","staff-escalation.md","","Escalate khiếu nại lên nhân viên/quản lý"
rag_075,"Set trưa văn phòng có những gì?","lunch-dinner-sets.md","","Liệt kê set trưa theo KB"
rag_076,"Set tối cho 2 người giá bao nhiêu?","lunch-dinner-sets.md;combo-pairing.md","","Set tối couple theo KB, không bịa giá"
rag_077,"Kỷ niệm ngày cưới nên đặt món gì?","occasion-dining.md;combo-pairing.md","","Gợi ý theo dịp kỷ niệm"
rag_078,"Tiếp khách công ty chọn thực đơn nào?","occasion-dining.md","","Gợi ý thực đơn business theo KB"
rag_079,"Một phần lẩu đủ cho mấy người ăn?","portion-party-size.md","","Trả lời khẩu phần theo KB"
rag_080,"Nhóm 10 người nên gọi bao nhiêu món?","portion-party-size.md;combo-pairing.md","","Công thức ước lượng số món theo đầu người"
rag_081,"Món nào mềm dễ nhai cho người già?","kids-elderly.md;menu.md","","Cháo, phở, món hấp mềm"
rag_082,"Trẻ 3 tuổi ăn được món nào?","kids-elderly.md","","Món không cay, ít xương, phần nhỏ"
