cau,tap,lop_dung,dich,nhanh,lop_thuc_te,dung_lop
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,tri thức,truy hồi,allergy_guidance,knowledge_corpus:embedding,truy hồi,True
Gọi khai vị trước có làm no bụng không ăn được món chính không?,tri thức,truy hồi,appetizer_role,knowledge_corpus:embedding,truy hồi,True
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",tri thức,truy hồi,beer_and_alcohol,filter,lọc nhãn,False
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,tri thức,truy hồi,beverage_pairing,filter,lọc nhãn,False
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,tri thức,truy hồi,budget_planning,knowledge_corpus:embedding,truy hồi,True
Quán có nói được món này nấu bao lâu không?,tri thức,truy hồi,cannot_help,knowledge_corpus:embedding,truy hồi,True
Cùng là gà mà sao món thì mềm món thì dai vậy?,tri thức,truy hồi,chicken_dishes,knowledge_corpus:embedding,truy hồi,True
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",tri thức,truy hồi,children_elderly,filter,lọc nhãn,False
Uống cà phê buổi tối có bị mất ngủ không?,tri thức,truy hồi,coffee_and_tea,knowledge_corpus:embedding,truy hồi,True
Gọi mấy món mà ăn cùng nhau cho hợp vị?,tri thức,truy hồi,combo_pairing,knowledge:ordering_guide,tra khóa,False
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",tri thức,truy hồi,date_occasion,knowledge_corpus:embedding,truy hồi,True
Ăn xong ngọt miệng thì nên làm gì tiếp?,tri thức,truy hồi,dessert_guide,knowledge_corpus:embedding,truy hồi,True
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",tri thức,truy hồi,dietary_limits,knowledge_corpus:embedding,truy hồi,True
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",tri thức,truy hồi,eating_alone,knowledge_corpus:embedding,truy hồi,True
Quán này có gì hay mà mọi người hay hỏi?,tri thức,truy hồi,faq_extended,knowledge_corpus:embedding,truy hồi,True
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",tri thức,truy hồi,first_visit,knowledge:first_visit,tra khóa,False
