cau,so_doan_xin,so_doan_thuc,trung,so_tu,doan_lac
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,1,1,False,46,1
Gọi khai vị trước có làm no bụng không ăn được món chính không?,1,1,True,136,0
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",1,1,False,76,1
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,1,1,False,31,1
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,1,1,False,38,1
Quán có nói được món này nấu bao lâu không?,1,1,True,32,0
Cùng là gà mà sao món thì mềm món thì dai vậy?,1,1,False,44,1
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",1,1,False,88,1
Uống cà phê buổi tối có bị mất ngủ không?,1,1,True,45,0
Gọi mấy món mà ăn cùng nhau cho hợp vị?,1,1,False,141,1
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",1,1,False,38,1
Ăn xong ngọt miệng thì nên làm gì tiếp?,1,1,True,45,0
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",1,1,False,74,1
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",1,1,True,71,0
Quán này có gì hay mà mọi người hay hỏi?,1,1,True,69,0
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",1,1,False,46,1
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,1,1,False,74,1
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",1,1,False,74,1
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",1,1,False,103,1
Nhóm sáu người ăn nồi nào cho vừa?,1,1,False,120,1
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",1,1,False,140,1
"Muốn cái gì mát mà rẻ, không phải trà sữa",1,1,False,53,1
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",1,1,False,51,1
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,1,1,True,99,0
