cau_hoi,khoa_dung,tat_dinh_tra_ve,tat_dinh_dung
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,allergy_guidance,allergy_guidance,True
Gọi khai vị trước có làm no bụng không ăn được món chính không?,appetizer_role,appetizer_role,True
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",beer_and_alcohol,eating_alone,False
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,beverage_pairing,fresh_fruit,False
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,budget_planning,chicken_dishes,False
Quán có nói được món này nấu bao lâu không?,cannot_help,quick_meal,False
Cùng là gà mà sao món thì mềm món thì dai vậy?,chicken_dishes,,False
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",children_elderly,children_elderly,True
Uống cà phê buổi tối có bị mất ngủ không?,coffee_and_tea,,False
Gọi mấy món mà ăn cùng nhau cho hợp vị?,combo_pairing,occasion_drinking,False
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",date_occasion,eating_alone,False
Ăn xong ngọt miệng thì nên làm gì tiếp?,dessert_guide,fresh_fruit,False
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",dietary_limits,allergy_guidance,False
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",eating_alone,eating_alone,True
Quán này có gì hay mà mọi người hay hỏi?,faq_extended,chicken_dishes,False
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",first_visit,flavour_smoky,False
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,fresh_fruit,,False
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",hanoi_and_north,chicken_dishes,False
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",highlands_danang,region_highlands,False
Nhóm sáu người ăn nồi nào cho vừa?,hotpot_choosing,chicken_dishes,False
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",hue_and_central,region_central,False
"Muốn cái gì mát mà rẻ, không phải trà sữa",juice_and_smoothie,reading_labels,False
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",meal_sets,quick_meal,False
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,noodle_soups,chicken_dishes,False
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",ordering_guide,chicken_dishes,False
Mấy món này ra cùng lúc hay ra dần vậy?,portion_timing,,False
Quét mã xong thì mình bấm tiếp thế nào?,qr_ordering,eating_alone,False
"Mình chỉ có ba mươi phút, kịp ăn gì không?",quick_meal,eating_alone,False
Mấy chữ ghi dưới tên món có tin được hết không?,reading_labels,takeaway_items,False
Toàn món cơm mà không biết chọn cái nào cho no,rice_dishes,flavour_fatty,False
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",saigon_and_south,flavour_sweet,False
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,seafood_caution,kitchen_allergy,False
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,sharing_etiquette,reading_labels,False
"Mình ăn cay kém, làm sao biết món nào chịu được?",spice_ladder,takeaway_items,False
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,value_for_money,rice_dishes,False
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,vegetarian_reality,vegetarian,False
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",appetizer_role,flavour_sour,False
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,budget_planning,cannot_help,False
Quán biết món nào còn món nào hết không?,cannot_help,date_occasion,False
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,children_elderly,cannot_help,False
Trẻ con uống được gì ở đây?,beverage_pairing,takeaway_items,False
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,hotpot_choosing,budget_planning,False
Mình muốn ăn no mà tiêu dưới trăm rưỡi,value_for_money,eating_alone,False
Người ăn chay trường có ăn được món chay ở đây không?,vegetarian_reality,chicken_dishes,False
Đặt bàn đông người thì cần báo trước bao lâu?,ordering_guide,booking,False
Món nào hợp mang về nhà ăn?,quick_meal,quick_meal,True
Sau bữa nhiều dầu mỡ nên uống gì?,beverage_pairing,beverage_pairing,True
Mình muốn thử món lạ mà sợ không hợp miệng,first_visit,fresh_fruit,False
Gọi hai người mà muốn thử nhiều vị thì làm sao?,sharing_etiquette,chicken_dishes,False
"Đồ biển ở đây có tươi không, lấy từ đâu?",seafood_caution,noodle_soups,False
