id,dang,query,topic_key,tat_dinh,tat_dinh_du_tu_vung,bm25,embedding,hybrid
phu-flavour-fatty-01,A,Món nào vị béo?,flavour_fatty,False,False,True,True,True
phu-flavour-fatty-02,B,"Mình đang thèm cái gì đó béo, gợi ý đi",flavour_fatty,False,False,False,True,True
phu-flavour-rich-01,A,Món nào vị đậm đà?,flavour_rich,False,True,True,True,True
phu-flavour-rich-02,B,"Mình đang thèm cái gì đó đậm đà, gợi ý đi",flavour_rich,False,True,False,True,True
phu-flavour-salty-01,A,Món nào vị mặn?,flavour_salty,False,False,False,True,True
phu-flavour-salty-02,B,"Mình đang thèm cái gì đó mặn, gợi ý đi",flavour_salty,False,False,False,True,True
phu-flavour-smoky-01,A,Món nào vị thơm khói?,flavour_smoky,False,True,True,True,True
phu-flavour-smoky-02,B,"Mình đang thèm cái gì đó thơm khói, gợi ý đi",flavour_smoky,False,True,True,True,True
phu-flavour-sour-01,A,Món nào vị chua?,flavour_sour,False,True,False,True,True
phu-flavour-sour-02,B,"Mình đang thèm cái gì đó chua, gợi ý đi",flavour_sour,False,False,False,True,False
phu-flavour-sweet-01,A,Món nào vị ngọt?,flavour_sweet,False,True,False,True,True
phu-flavour-sweet-02,B,"Mình đang thèm cái gì đó ngọt, gợi ý đi",flavour_sweet,False,False,False,True,False
phu-health-healthy-01,A,Món nào healthy?,health_healthy,False,True,True,True,True
phu-health-healthy-02,B,"Mình đang giữ dáng, muốn ăn kiểu healthy thì chọn gì?",health_healthy,False,True,True,True,True
phu-health-high_protein-01,A,Món nào giàu protein?,health_high_protein,False,True,True,True,True
phu-health-high_protein-02,B,"Mình đang giữ dáng, muốn ăn kiểu giàu protein thì chọn gì?",health_high_protein,False,True,True,True,True
phu-health-light-01,A,Món nào thanh nhẹ?,health_light,False,True,False,True,True
phu-health-light-02,B,"Mình đang giữ dáng, muốn ăn kiểu thanh nhẹ thì chọn gì?",health_light,False,True,True,True,True
