id,group_id,split,slice,question,expected_ids,expected_flags
exact_m_001,m_001,dev,exact_name,Cho tôi thông tin về Gỏi cuốn tôm thịt,menu:m_001,
nodia_m_001,m_001,dev,no_diacritic,quan co goi cuon tom thit khong,menu:m_001,
exact_m_002,m_002,test,exact_name,Cho tôi thông tin về Nem rán Hà Nội,menu:m_002,
nodia_m_002,m_002,test,no_diacritic,quan co nem ran ha noi khong,menu:m_002,
exact_m_003,m_003,test,exact_name,Cho tôi thông tin về Bánh xèo miền Tây,menu:m_003,
nodia_m_003,m_003,test,no_diacritic,quan co banh xeo mien tay khong,menu:m_003,
exact_m_004,m_004,dev,exact_name,Cho tôi thông tin về Bánh cuốn Thanh Trì,menu:m_004,
nodia_m_004,m_004,dev,no_diacritic,quan co banh cuon thanh tri khong,menu:m_004,
exact_m_005,m_005,test,exact_name,Cho tôi thông tin về Gỏi xoài tôm sú,menu:m_005,
nodia_m_005,m_005,test,no_diacritic,quan co goi xoai tom su khong,menu:m_005,
exact_m_006,m_006,dev,exact_name,Cho tôi thông tin về Bánh mì pate Sài Gòn,menu:m_006,
nodia_m_006,m_006,dev,no_diacritic,quan co banh mi pate sai gon khong,menu:m_006,
exact_m_007,m_007,dev,exact_name,Cho tôi thông tin về Súp măng cua,menu:m_007,
nodia_m_007,m_007,dev,no_diacritic,quan co sup mang cua khong,menu:m_007,
exact_m_008,m_008,dev,exact_name,Cho tôi thông tin về Phở bò tái nạm,menu:m_008,
nodia_m_008,m_008,dev,no_diacritic,quan co pho bo tai nam khong,menu:m_008,
exact_m_009,m_009,dev,exact_name,Cho tôi thông tin về Phở gà ta,menu:m_009,
nodia_m_009,m_009,dev,no_diacritic,quan co pho ga ta khong,menu:m_009,
exact_m_010,m_010,test,exact_name,Cho tôi thông tin về Bún bò Huế,menu:m_010,
nodia_m_010,m_010,test,no_diacritic,quan co bun bo hue khong,menu:m_010,
exact_m_011,m_011,test,exact_name,Cho tôi thông tin về Bún chả Hà Nội,menu:m_011,
nodia_m_011,m_011,test,no_diacritic,quan co bun cha ha noi khong,menu:m_011,
exact_m_012,m_012,dev,exact_name,Cho tôi thông tin về Bún riêu cua đồng,menu:m_012,
nodia_m_012,m_012,dev,no_diacritic,quan co bun rieu cua dong khong,menu:m_012,
exact_m_013,m_013,dev,exact_name,Cho tôi thông tin về Bún mắm miền Tây,menu:m_013,
nodia_m_013,m_013,dev,no_diacritic,quan co bun mam mien tay khong,menu:m_013,
exact_m_014,m_014,test,exact_name,Cho tôi thông tin về Bún đậu mắm tôm,menu:m_014,
nodia_m_014,m_014,test,no_diacritic,quan co bun dau mam tom khong,menu:m_014,
exact_m_015,m_015,dev,exact_name,Cho tôi thông tin về Cơm tấm sườn bì chả,menu:m_015,
nodia_m_015,m_015,dev,no_diacritic,quan co com tam suon bi cha khong,menu:m_015,
exact_m_016,m_016,dev,exact_name,Cho tôi thông tin về Cơm gà Hội An,menu:m_016,
nodia_m_016,m_016,dev,no_diacritic,quan co com ga hoi an khong,menu:m_016,
exact_m_017,m_017,dev,exact_name,Cho tôi thông tin về Cơm sườn nướng,menu:m_017,
nodia_m_017,m_017,dev,no_diacritic,quan co com suon nuong khong,menu:m_017,
exact_m_018,m_018,test,exact_name,Cho tôi thông tin về Cơm cá kho tộ,menu:m_018,
nodia_m_018,m_018,test,no_diacritic,quan co com ca kho to khong,menu:m_018,
exact_m_019,m_019,test,exact_name,Cho tôi thông tin về Cơm chiên Sài Gòn,menu:m_019,
nodia_m_019,m_019,test,no_diacritic,quan co com chien sai gon khong,menu:m_019,
exact_m_020,m_020,dev,exact_name,Cho tôi thông tin về Cơm hến Huế,menu:m_020,
nodia_m_020,m_020,dev,no_diacritic,quan co com hen hue khong,menu:m_020,
exact_m_021,m_021,test,exact_name,Cho tôi thông tin về Cơm bò lúc lắc,menu:m_021,
nodia_m_021,m_021,test,no_diacritic,quan co com bo luc lac khong,menu:m_021,
exact_m_022,m_022,test,exact_name,Cho tôi thông tin về Tôm hùm nướng mỡ hành,menu:m_022,
nodia_m_022,m_022,test,no_diacritic,quan co tom hum nuong mo hanh khong,menu:m_022,
exact_m_023,m_023,test,exact_name,Cho tôi thông tin về Cá lóc nướng trui,menu:m_023,
nodia_m_023,m_023,test,no_diacritic,quan co ca loc nuong trui khong,menu:m_023,
exact_m_024,m_024,test,exact_name,Cho tôi thông tin về Tôm rang muối Tây Ninh,menu:m_024,
nodia_m_024,m_024,test,no_diacritic,quan co tom rang muoi tay ninh khong,menu:m_024,
exact_m_025,m_025,test,exact_name,Cho tôi thông tin về Cua rang me,menu:m_025,
nodia_m_025,m_025,test,no_diacritic,quan co cua rang me khong,menu:m_025,
exact_m_026,m_026,test,exact_name,Cho tôi thông tin về Mực xào sa tế,menu:m_026,
nodia_m_026,m_026,test,no_diacritic,quan co muc xao sa te khong,menu:m_026,
exact_m_027,m_027,test,exact_name,Cho tôi thông tin về Nghêu hấp sả,menu:m_027,
nodia_m_027,m_027,test,no_diacritic,quan co ngheu hap sa khong,menu:m_027,
exact_m_028,m_028,test,exact_name,Cho tôi thông tin về Ốc hương rang bơ tỏi,menu:m_028,
nodia_m_028,m_028,test,no_diacritic,quan co oc huong rang bo toi khong,menu:m_028,
exact_m_029,m_029,test,exact_name,Cho tôi thông tin về Lẩu chua cá lăng,menu:m_029,
nodia_m_029,m_029,test,no_diacritic,quan co lau chua ca lang khong,menu:m_029,
exact_m_030,m_030,test,exact_name,Cho tôi thông tin về Lẩu bò nhúng giấm,menu:m_030,
nodia_m_030,m_030,test,no_diacritic,quan co lau bo nhung giam khong,menu:m_030,
exact_m_031,m_031,test,exact_name,Cho tôi thông tin về Lẩu nấm chay,menu:m_031,
nodia_m_031,m_031,test,no_diacritic,quan co lau nam chay khong,menu:m_031,
exact_m_032,m_032,test,exact_name,Cho tôi thông tin về Lẩu gà lá é Đà Lạt,menu:m_032,
nodia_m_032,m_032,test,no_diacritic,quan co lau ga la e da lat khong,menu:m_032,
exact_m_033,m_033,test,exact_name,Cho tôi thông tin về Lẩu hải sản chua cay,menu:m_033,
nodia_m_033,m_033,test,no_diacritic,quan co lau hai san chua cay khong,menu:m_033,
exact_m_034,m_034,test,exact_name,Cho tôi thông tin về Lẩu dê thuốc bắc,menu:m_034,
nodia_m_034,m_034,test,no_diacritic,quan co lau de thuoc bac khong,menu:m_034,
exact_m_035,m_035,test,exact_name,Cho tôi thông tin về Lẩu mắm miền Tây,menu:m_035,
nodia_m_035,m_035,test,no_diacritic,quan co lau mam mien tay khong,menu:m_035,
exact_m_036,m_036,test,exact_name,Cho tôi thông tin về Gà nướng mật ong,menu:m_036,
nodia_m_036,m_036,test,no_diacritic,quan co ga nuong mat ong khong,menu:m_036,
exact_m_037,m_037,dev,exact_name,Cho tôi thông tin về Gà hấp lá chanh,menu:m_037,
nodia_m_037,m_037,dev,no_diacritic,quan co ga hap la chanh khong,menu:m_037,
exact_m_038,m_038,test,exact_name,Cho tôi thông tin về Cánh gà chiên nước mắm,menu:m_038,
nodia_m_038,m_038,test,no_diacritic,quan co canh ga chien nuoc mam khong,menu:m_038,
exact_m_039,m_039,test,exact_name,Cho tôi thông tin về Gà xào sả ớt,menu:m_039,
nodia_m_039,m_039,test,no_diacritic,quan co ga xao sa ot khong,menu:m_039,
exact_m_040,m_040,dev,exact_name,Cho tôi thông tin về Gà nướng muối ớt xanh,menu:m_040,
nodia_m_040,m_040,dev,no_diacritic,quan co ga nuong muoi ot xanh khong,menu:m_040,
exact_m_041,m_041,test,exact_name,Cho tôi thông tin về Gà tiềm thuốc bắc,menu:m_041,
nodia_m_041,m_041,test,no_diacritic,quan co ga tiem thuoc bac khong,menu:m_041,
exact_m_042,m_042,test,exact_name,Cho tôi thông tin về Gà rô ti kiểu Việt,menu:m_042,
nodia_m_042,m_042,test,no_diacritic,quan co ga ro ti kieu viet khong,menu:m_042,
exact_m_043,m_043,test,exact_name,Cho tôi thông tin về Mì Quảng tôm thịt,menu:m_043,
nodia_m_043,m_043,test,no_diacritic,quan co mi quang tom thit khong,menu:m_043,
exact_m_044,m_044,test,exact_name,Cho tôi thông tin về Cao lầu Hội An,menu:m_044,
nodia_m_044,m_044,test,no_diacritic,quan co cao lau hoi an khong,menu:m_044,
exact_m_045,m_045,test,exact_name,Cho tôi thông tin về Bê thui Cầu Mống,menu:m_045,
nodia_m_045,m_045,test,no_diacritic,quan co be thui cau mong khong,menu:m_045,
exact_m_046,m_046,test,exact_name,Cho tôi thông tin về Hủ tiếu Nam Vang,menu:m_046,
nodia_m_046,m_046,test,no_diacritic,quan co hu tieu nam vang khong,menu:m_046,
exact_m_047,m_047,test,exact_name,Cho tôi thông tin về Bánh tráng cuốn thịt heo,menu:m_047,
nodia_m_047,m_047,test,no_diacritic,quan co banh trang cuon thit heo khong,menu:m_047,
exact_m_048,m_048,test,exact_name,Cho tôi thông tin về Cháo lòng Sài Gòn,menu:m_048,
nodia_m_048,m_048,test,no_diacritic,quan co chao long sai gon khong,menu:m_048,
exact_m_049,m_049,dev,exact_name,Cho tôi thông tin về Xôi gà Hà Nội,menu:m_049,
nodia_m_049,m_049,dev,no_diacritic,quan co xoi ga ha noi khong,menu:m_049,
exact_m_050,m_050,test,exact_name,Cho tôi thông tin về Phở chay nấm đông cô,menu:m_050,
nodia_m_050,m_050,test,no_diacritic,quan co pho chay nam dong co khong,menu:m_050,
