artifact,case_id,family,composite_pass,grounding_pass,llm_success
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q001,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q002,allergy,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q003,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q004,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q005,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q006,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q007,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q008,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q009,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q010,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q011,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q012,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q013,allergy,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q014,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q015,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q016,dietary,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q017,dietary,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q018,dietary,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q019,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q020,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q021,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q022,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q023,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q024,dietary,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q025,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q026,dietary,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q027,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q028,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q029,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q030,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q031,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q032,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q033,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q034,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q035,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q036,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q037,spice,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q038,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q039,spice,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q040,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q041,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q042,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q043,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q044,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q045,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q046,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q047,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q048,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q049,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q050,budget,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q051,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q052,budget,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q053,party_size,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q054,party_size,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q055,party_size,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q056,party_size,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q057,party_size,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q058,party_size,True,True,True
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q059,party_size,True,True,False
golden_llm_eval_cx_gpt55_v3_full_v3b.json,q060,party_size,True,True,False
