id,question,branch,dung_nhanh,expect_doc,trung,cham_cam,dat
RAG-01,Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,knowledge_corpus:embedding,True,kb.written.allergy_guidance.v1,True,,True
RAG-02,Gọi khai vị trước có làm no bụng không ăn được món chính không?,knowledge_corpus:embedding,True,kb.written.appetizer_role.v1,True,,True
RAG-03,Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,knowledge_corpus:embedding,True,kb.written.budget_planning.v1,True,,True
RAG-04,Quán có nói được món này nấu bao lâu không?,knowledge_corpus:embedding,True,kb.written.cannot_help.v1,True,,True
RAG-05,Cùng là gà mà sao món thì mềm món thì dai vậy?,knowledge_corpus:embedding,True,kb.written.chicken_dishes.v1,True,,True
RAG-06,"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",knowledge_corpus:embedding,True,kb.written.children_elderly.v1,True,,True
RAG-07,Uống cà phê buổi tối có bị mất ngủ không?,knowledge_corpus:embedding,True,kb.written.coffee_and_tea.v1,True,,True
RAG-08,"Mình định cầu hôn ở đây, nên chuẩn bị gì?",knowledge_corpus:embedding,True,kb.written.date_occasion.v1,True,,True
RAG-09,Ăn xong ngọt miệng thì nên làm gì tiếp?,knowledge_corpus:embedding,True,kb.written.dessert_guide.v1,True,,True
RAG-10,"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",knowledge_corpus:embedding,True,kb.written.dietary_limits.v1,False,,False
RAG-11,"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",knowledge_corpus:embedding,True,kb.written.eating_alone.v1,True,,True
RAG-12,Quán này có gì hay mà mọi người hay hỏi?,knowledge_corpus:embedding,True,kb.written.faq_extended.v1,True,,True
RAG-13,Nhóm sáu người ăn nồi nào cho vừa?,knowledge_corpus:embedding,True,kb.written.hotpot_choosing.v1,False,,False
RAG-14,"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",knowledge_corpus:embedding,True,kb.written.meal_sets.v1,True,,True
RAG-15,Phở với bún với hủ tiếu thì khác nhau chỗ nào?,knowledge_corpus:embedding,True,kb.written.noodle_soups.v1,True,,True
RAG-16,"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",knowledge_corpus:embedding,True,kb.written.ordering_guide.v1,True,,True
RAG-17,Mấy món này ra cùng lúc hay ra dần vậy?,knowledge_corpus:embedding,True,kb.written.portion_timing.v1,True,,True
RAG-18,Quét mã xong thì mình bấm tiếp thế nào?,knowledge_corpus:embedding,True,kb.written.qr_ordering.v1,True,,True
RAG-19,Mấy chữ ghi dưới tên món có tin được hết không?,knowledge_corpus:embedding,True,kb.written.reading_labels.v1,True,,True
RAG-20,Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,knowledge_corpus:embedding,True,kb.written.sharing_etiquette.v1,True,,True
RAG-21,"Mình ăn cay kém, làm sao biết món nào chịu được?",knowledge_corpus:embedding,True,kb.written.spice_ladder.v1,True,,True
RAG-22,Tiền nào của nấy hay có món rẻ mà vẫn ngon?,knowledge_corpus:embedding,True,kb.written.value_for_money.v1,True,,True
RAG-23,Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,knowledge_corpus:embedding,True,kb.written.vegetarian_reality.v1,True,,True
RAG-24,"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",knowledge_corpus:embedding,True,kb.written.appetizer_role.v1,False,,False
RAG-25,Tính tiền có bị cộng thêm gì ngoài giá ghi không?,knowledge_corpus:embedding,True,kb.written.budget_planning.v1,True,,True
RAG-26,Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,knowledge_corpus:embedding,True,kb.written.children_elderly.v1,True,,True
RAG-27,Trẻ con uống được gì ở đây?,knowledge_corpus:embedding,True,kb.written.beverage_pairing.v1,True,,True
RAG-28,Mình muốn ăn no mà tiêu dưới trăm rưỡi,knowledge_corpus:embedding,True,kb.written.value_for_money.v1,True,,True
RAG-29,Người ăn chay trường có ăn được món chay ở đây không?,knowledge_corpus:embedding,True,kb.written.vegetarian_reality.v1,True,,True
RAG-30,Mình muốn thử món lạ mà sợ không hợp miệng,knowledge_corpus:embedding,True,kb.written.first_visit.v1,True,,True
RAG-31,Gọi hai người mà muốn thử nhiều vị thì làm sao?,knowledge_corpus:embedding,True,kb.written.sharing_etiquette.v1,False,,False
RAG-32,"Đồ biển ở đây có tươi không, lấy từ đâu?",knowledge_corpus:embedding,True,kb.written.seafood_caution.v1,True,,True
